,2025,2030
1.Population_Grid,3438521.61462626,6448485.863883897
1.Population_SA_Diesel,0,0
1.Population_SA_PV,494067.13903310633,1817198.3792798764
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,3378.6246170000004
1.Population_MG_PV_Hybrid,1445647.1485178992,1417602.1326187998
1.Population_MG_Wind_Hybrid,0,0
2.New_Connections_Grid,1610840.6445779107,2332711.964194579
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,494067.13903310633,1461872.9218737087
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,3378.6246170000004
2.New_Connections_MG_PV_Hybrid,1445647.1485178992,510465.5875370002
2.New_Connections_MG_Wind_Hybrid,0,0
3.Capacity_Grid,110752.64058850317,157661.72895624881
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,2672.7183456027747,15739.06644298745
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,36.75534773445584
3.Capacity_MG_PV_Hybrid,13234.277899880106,6380.119282257559
3.Capacity_MG_Wind_Hybrid,0,0
4.Investment_Grid,356487519.0581256,605691374.7331536
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,23466467.074392453,101683149.5275056
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,266593.01397669816
4.Investment_MG_PV_Hybrid,70619316.33750871,34234404.004444964
4.Investment_MG_Wind_Hybrid,0,0
